Temperature_K_,Field_T_,FieldAngle_deg_,CriticalCurrent_A_,CriticalCurrentPerCmWidth_A_cm_,n_value
14.99,0.7,35,629.36,1573.4,30.85
15,0.7,30,617.47,1543.68,30.21
14.99,0.7,25,611.48,1528.69,31.28
14.99,0.7,20,604.13,1510.33,29.86
14.99,0.7,15,601.3,1503.25,30.49
14.99,0.7,10,600.04,1500.1,31.01
15,0.7,5,599.24,1498.09,31.18
15,0.5,240,942.47,2356.17,40.16
14.99,0.5,235,889.16,2222.91,35.34
15,0.5,230,851.14,2127.86,36.57
15,0.5,225,817.31,2043.27,35.8
14.99,0.5,220,786.64,1966.59,32.99
14.99,0.5,215,767.22,1918.05,34.84
14.99,0.5,210,749.88,1874.69,34.94
14.99,0.5,205,735.39,1838.47,33.96
14.99,0.5,200,723.29,1808.23,32.46
14.99,0.5,195,713.96,1784.91,30.52
14.99,0.5,190,710.17,1775.43,31.32
14.99,0.5,185,709.59,1773.97,32.42
14.98,0.5,180,709.45,1773.61,32.29
14.99,0.5,175,710.68,1776.69,31.81
14.99,0.5,170,714.73,1786.82,31.74
14.99,0.5,165,721.97,1804.93,32.29
14.99,0.5,160,729.17,1822.91,31.73
15,0.5,155,739.87,1849.66,31.43
15,0.5,150,754.54,1886.34,31.99
15,0.5,145,770.01,1925.04,30.62
15,0.5,140,796.93,1992.32,33.99
15,0.5,135,821.31,2053.27,31.52
15,0.5,130,855.27,2138.18,31.55
15,0.5,125,901.14,2252.85,36.1
15,0.5,120,944.97,2362.42,32.19
15,0.5,65,959.47,2398.67,38.54
15,0.5,60,905.66,2264.14,36.25
14.99,0.5,55,859.66,2149.16,33.51
15,0.5,50,823.25,2058.13,32.87
15,0.5,45,796.7,1991.74,34.69
14.99,0.5,40,772.54,1931.36,32.9
14.99,0.5,35,753.6,1884,32.42
14.99,0.5,30,740.08,1850.21,32.27
14.99,0.5,25,729.37,1823.42,32.15
15,0.5,20,722.05,1805.12,32.54
14.99,0.5,15,714.68,1786.71,30.67
14.99,0.5,10,713.08,1782.71,31.94
14.99,0.5,5,712.62,1781.56,32.21
15,0.3,210,959.74,2399.35,38.31
15,0.3,205,943.55,2358.87,37.61
15,0.3,200,928.05,2320.14,34.77
15,0.3,195,924.5,2311.25,39.5
15,0.3,190,914.14,2285.36,35.34
15,0.3,185,910.11,2275.27,35.47
15,0.3,180,912.37,2280.93,37.34
15,0.3,175,912.94,2282.34,35.65
15,0.3,170,920.96,2302.41,39.41
15,0.3,165,925.25,2313.12,36.63
15,0.3,160,940.22,2350.56,40.48
15,0.3,155,948.82,2372.05,36.31
15,0.3,150,962.52,2406.31,34.93
15,0.3,35,963.26,2408.15,38.41
15,0.3,30,945.9,2364.74,36.57
15,0.3,25,932.22,2330.54,34.91
15,0.3,20,924.02,2310.06,36.98
14.99,0.3,15,921.07,2302.66,39.77
14.99,0.3,10,912.32,2280.8,35.03
14.99,0.3,5,909.78,2274.46,34.31
20.01,7,240,140.31,350.77,17.76
20,7,235,136.94,342.35,19.03
20,7,230,135.68,339.19,22
20,7,225,135.39,338.47,25.41
20,7,220,134.35,335.87,25.11
20.01,6.999,215,134.82,337.05,27.75
20,7,210,135.42,338.56,28.42
20,7,205,136.3,340.76,27.15
20,7,200,138.14,345.34,26.76
20,7,195,140.88,352.2,27.09
20,7,190,143.74,359.36,26.54
19.99,7,185,146.71,366.79,26.54
20,7,180,147.36,368.4,24.74
20,7,175,146.08,365.19,24.55
20,7,170,143.06,357.64,24.67
20,7,165,140.03,350.07,25.73
19.99,7,160,136.92,342.29,25.91
20,7,155,134.54,336.35,26.19
20,7,150,132.27,330.68,24.5
20,7,145,131.3,328.24,23.91
20,7,140,131.5,328.74,23.71
20.01,7.001,135,132.88,332.19,23.82
20.01,7,130,136.01,340.01,24.1
20.01,7,125,140.52,351.3,23.27
20,7,120,146.13,365.33,20.49
20,7,115,156.83,392.09,19.35
20,7,110,174.97,437.43,18.96
19.99,7,105,208.48,521.21,17.43
20,7,102,249.29,623.22,17.95
19.99,7,99,328.22,820.55,18.66
19.99,7,96,517.3,1293.25,25.33
19.99,7,94,766.79,1916.97,42.69
